Date,Category,Item,SalesQuantity,Price
2024-06-01,Casual Wear,Hoodie,14,56.23
2023-09-18,Accessories,Hat,68,24.94
2023-08-23,Formal Wear,Trousers,44,52.1
2024-04-11,Casual Wear,T-Shirts,66,130.31
2024-05-03,Accessories,Hats,100,76.38
2024-01-11,Accessories,Hats,31,29.53
2024-04-12,Formal Wear,Suits,23,124.46
2024-01-30,Accessories,Bags,23,190.75
2023-12-01,Accessories,Hat,60,153.34
2023-07-31,Accessories,Hat,88,185.59
2023-10-10,Accessories,Scarves,81,70.07
2023-10-01,Formal Wear,Suits,61,94.02
2023-11-23,Formal Wear,Dress Shirts,76,20.67
2023-07-29,Accessories,Bags,40,97.73
2023-07-18,Casual Wear,T-Shirts,48,168.02
2023-12-12,Casual Wear,T-Shirts,79,122.88
2023-09-12,Formal Wear,Dress Shirts,75,115.32
2023-08-06,Accessories,Bags,58,182.72
2023-09-10,Accessories,Hats,42,124.95
2023-07-10,Accessories,Hats,8,95.6
2024-04-06,Formal Wear,Trousers,11,105.86
2024-01-01,Casual Wear,T-Shirts,32,144.45
2023-08-31,Formal Wear,Trousers,67,125.86
2023-09-05,Formal Wear,Dress Shirts,37,83.61
2023-07-15,Formal Wear,Trousers,77,19.95
2023-10-22,Accessories,Scarves,9,72.64
2023-08-02,Accessories,Hat,37,57.88
2024-01-21,Accessories,Hats,43,25.49
2023-12-27,Accessories,Hats,45,68.94
2023-11-24,Accessories,Hat,17,123.06
2024-02-02,Casual Wear,Shorts,72,81.57
2024-05-06,Formal Wear,Suits,86,143.54
2024-02-12,Accessories,Bags,83,137.39
2023-08-10,Accessories,Scarves,3,78.89
2023-07-14,Casual Wear,Jeans,44,190.06
2024-05-18,Formal Wear,Suits,29,200.0
2023-12-02,Casual Wear,T-Shirts,38,170.44
2023-08-18,Casual Wear,T-Shirts,85,73.99
2023-10-03,Accessories,Hats,77,81.58
2023-08-05,Casual Wear,Jeans,89,156.51
2024-01-27,Casual Wear,Hoodie,6,88.06
2023-11-03,Accessories,Hats,57,126.01
2023-07-19,Accessories,Hat,30,111.46
2023-07-11,Formal Wear,Dress Shirts,25,79.89
2024-06-03,Accessories,Hat,60,156.19
2023-08-22,Formal Wear,Trousers,68,89.55
2024-04-21,Casual Wear,Jeans,78,36.3
2023-06-25,Formal Wear,Suits,83,101.31
2023-10-07,Formal Wear,Trousers,14,145.17
2024-05-13,Accessories,Bags,37,25.94
2023-07-20,Casual Wear,Shorts,58,182.01
2024-05-30,Casual Wear,Hoodie,12,189.82
2024-05-03,Casual Wear,Hoodie,45,186.79
2023-10-30,Formal Wear,Suits,51,105.38
2024-02-11,Casual Wear,Hoodie,11,81.23
2023-12-24,Casual Wear,Shorts,13,169.44
2023-10-01,Accessories,Scarves,19,36.14
2024-04-20,Formal Wear,Dress Shirts,90,167.91
2024-03-09,Accessories,Hat,58,126.92
2024-03-29,Casual Wear,T-Shirts,33,50.97
2024-06-06,Casual Wear,Hoodie,15,157.47
2024-02-22,Casual Wear,Shorts,16,19.07
2024-04-13,Formal Wear,Trousers,80,96.85
2024-02-18,Casual Wear,Hoodie,77,111.85
2023-10-22,Accessories,Hats,92,37.28
2023-12-01,Formal Wear,Suits,79,77.04
2023-08-26,Accessories,Hat,24,136.23
2024-03-23,Casual Wear,Shorts,9,191.15
2024-01-17,Accessories,Bags,50,175.93
2023-09-10,Casual Wear,Hoodie,48,58.19
2024-04-06,Casual Wear,Shorts,9,75.51
2023-12-31,Accessories,Bags,99,120.56
2024-01-26,Formal Wear,Suits,6,76.94
2023-08-24,Formal Wear,Trousers,23,167.77
2023-08-30,Accessories,Hat,90,100.92
2023-12-17,Casual Wear,Jeans,9,146.05
2024-03-08,Formal Wear,Suits,38,48.3
2023-10-16,Casual Wear,T-Shirts,41,187.34
2023-09-04,Accessories,Hat,70,99.95
2023-09-16,Casual Wear,Jeans,37,77.83
2023-08-02,Casual Wear,Shorts,35,33.65
2024-04-07,Formal Wear,Dress Shirts,52,151.23
2023-07-15,Formal Wear,Dress Shirts,24,104.28
2024-05-30,Formal Wear,Dress Shirts,67,60.68
2023-07-16,Casual Wear,Hoodie,11,91.82
2023-09-27,Casual Wear,Shorts,42,29.49
2024-03-09,Formal Wear,Trousers,38,68.23
2023-07-23,Accessories,Hat,22,141.06
2023-11-06,Formal Wear,Dress Shirts,6,148.09
2023-12-27,Formal Wear,Trousers,56,62.17
2024-04-26,Casual Wear,T-Shirts,86,131.13
2023-09-03,Formal Wear,Trousers,96,139.09
2024-03-22,Casual Wear,Jeans,78,138.84
2023-07-18,Formal Wear,Suits,17,22.77
2024-06-09,Accessories,Scarves,47,82.74
2024-02-25,Accessories,Bags,78,39.15
2024-04-04,Formal Wear,Dress Shirts,48,94.35
2023-12-10,Casual Wear,Jeans,68,79.72
2024-06-12,Formal Wear,Trousers,36,57.43
2023-10-20,Casual Wear,T-Shirts,95,45.35
2024-04-30,Accessories,Hat,72,32.37
2024-05-12,Formal Wear,Trousers,58,50.77
2024-02-07,Accessories,Scarves,89,184.13
2024-04-08,Formal Wear,Suits,16,35.79
2024-04-02,Casual Wear,Hoodie,23,180.75
2023-08-31,Formal Wear,Suits,88,193.84
2024-03-24,Formal Wear,Trousers,45,144.81
2023-07-17,Accessories,Scarves,39,171.76
2024-01-10,Accessories,Hats,47,106.66
2023-06-20,Casual Wear,Jeans,18,54.98
2023-11-19,Formal Wear,Suits,47,115.26
2023-07-18,Formal Wear,Dress Shirts,71,34.66
2023-08-20,Casual Wear,T-Shirts,40,85.65
2023-06-22,Accessories,Hat,68,88.05
2024-04-16,Formal Wear,Trousers,10,33.81
2024-03-04,Formal Wear,Trousers,10,95.5
2024-01-07,Accessories,Scarves,17,176.81
2024-04-14,Accessories,Hats,99,193.59
2023-08-06,Formal Wear,Trousers,8,167.96
2023-11-06,Accessories,Hats,39,41.28
2023-11-20,Formal Wear,Trousers,29,75.74
2023-12-02,Accessories,Scarves,11,57.62
2023-08-18,Accessories,Scarves,17,128.75
2024-03-20,Accessories,Bags,65,131.79
2023-08-02,Accessories,Hats,22,135.16
2024-03-21,Accessories,Scarves,73,17.83
2024-01-28,Casual Wear,T-Shirts,6,190.22
2024-02-03,Accessories,Scarves,84,50.05
2023-06-30,Accessories,Hat,80,131.41
2024-01-03,Formal Wear,Trousers,70,65.04
2023-11-06,Formal Wear,Dress Shirts,32,162.89
2024-03-04,Accessories,Hat,39,96.17
2024-03-03,Accessories,Bags,21,93.53
2024-01-02,Formal Wear,Dress Shirts,27,74.64
2023-09-29,Casual Wear,Shorts,92,70.67
2023-12-26,Formal Wear,Dress Shirts,17,154.53
2024-06-11,Accessories,Bags,41,55.93
2023-06-15,Casual Wear,Shorts,58,57.1
2024-04-12,Casual Wear,T-Shirts,38,189.62
2023-10-09,Accessories,Hat,32,192.91
2023-10-16,Casual Wear,Shorts,74,147.01
2023-06-15,Casual Wear,Jeans,64,199.23
2023-09-18,Formal Wear,Dress Shirts,40,104.5
2023-07-28,Casual Wear,Hoodie,65,96.87
2024-03-26,Casual Wear,Jeans,75,77.05
2023-09-23,Casual Wear,Shorts,64,123.53
2024-03-18,Accessories,Hat,37,111.97
2023-12-07,Casual Wear,Hoodie,18,177.67
2024-04-19,Accessories,Scarves,98,86.62
2023-11-03,Casual Wear,Hoodie,7,118.35
2024-05-09,Casual Wear,Shorts,71,64.83
2023-08-02,Formal Wear,Trousers,58,155.24
2023-11-10,Formal Wear,Trousers,88,126.1
2023-06-20,Casual Wear,T-Shirts,51,80.91
2024-02-24,Formal Wear,Trousers,47,153.44
2023-09-14,Casual Wear,Hoodie,65,17.65
2023-08-19,Casual Wear,Jeans,92,73.28
2023-09-12,Formal Wear,Trousers,59,38.3
2023-07-01,Accessories,Hats,42,186.96
2023-10-19,Formal Wear,Suits,51,198.22
2023-09-26,Accessories,Scarves,76,73.91
2024-04-24,Accessories,Hat,91,116.96
2024-04-11,Formal Wear,Suits,48,72.94
2024-06-06,Casual Wear,Hoodie,75,68.46
2023-09-26,Accessories,Bags,77,100.17
2023-07-23,Accessories,Hats,93,19.76
2024-01-02,Formal Wear,Suits,68,129.51
2023-09-01,Accessories,Hat,19,166.12
2023-08-26,Casual Wear,T-Shirts,74,190.16
2024-05-16,Casual Wear,Jeans,3,93.8
2023-08-16,Formal Wear,Suits,53,141.2
2024-05-10,Formal Wear,Trousers,100,126.18
2023-08-31,Formal Wear,Trousers,94,21.83
2024-01-11,Casual Wear,Jeans,72,71.76
2023-10-03,Accessories,Hat,68,81.6
2024-05-08,Casual Wear,Hoodie,69,75.04
2024-02-24,Formal Wear,Trousers,99,174.85
2023-09-04,Accessories,Scarves,79,101.99
2023-11-18,Casual Wear,Shorts,72,66.71
2023-12-21,Formal Wear,Dress Shirts,91,49.38
2023-08-04,Accessories,Hat,41,101.16
2024-03-08,Accessories,Scarves,37,33.16
2023-07-13,Accessories,Hat,51,165.49
2024-03-30,Casual Wear,Shorts,6,64.65
2023-08-25,Accessories,Bags,45,185.56
2023-08-02,Accessories,Scarves,96,101.03
2023-09-15,Casual Wear,Shorts,72,142.27
2023-06-30,Casual Wear,T-Shirts,79,150.77
2023-06-29,Casual Wear,Jeans,7,137.27
2023-08-09,Accessories,Hats,82,54.24
2023-08-08,Casual Wear,Hoodie,43,146.3
2023-08-13,Casual Wear,Jeans,1,193.26
2024-01-25,Casual Wear,Hoodie,84,187.66
2023-10-01,Formal Wear,Dress Shirts,84,47.9
